
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         666517 function calls (634389 primitive calls) in 5.552 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 backend_agg.py:391(copy_from_bbox)
      100    0.000    0.000    0.013    0.000 backend_agg.py:395(restore_region)
        2    0.000    0.000    0.263    0.131 backend_agg.py:399(draw)
      103    0.001    0.000    0.003    0.000 backend_agg.py:411(get_renderer)
       64    0.000    0.000    0.000    0.000 backend_agg.py:50(get_hinting_flag)
        1    0.001    0.001    0.001    0.001 backend_agg.py:85(__init__)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1011(get_hatch)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1015(get_hatch_path)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1022(get_hatch_color)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1030(get_hatch_linewidth)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1034(get_sketch_params)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1122(start)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1136(stop)
      100    0.000    0.000    0.000    0.000 backend_bases.py:1151(interval)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1169(add_callback)
      100    0.000    0.000    0.000    0.000 backend_bases.py:1203(_timer_set_interval)
      101    0.000    0.000    5.036    0.050 backend_bases.py:1209(_on_timer)
        3    0.000    0.000    0.000    0.000 backend_bases.py:1244(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1272(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1291(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:168(__init__)
        8    0.000    0.000    0.000    0.000 backend_bases.py:1733(<lambda>)
      116    0.000    0.000    0.000    0.000 backend_bases.py:175(open_group)
        3    0.000    0.000    0.000    0.000 backend_bases.py:1771(is_saving)
        2    0.000    0.000    0.052    0.026 backend_bases.py:1788(draw_event)
        1    0.000    0.000    0.056    0.056 backend_bases.py:1794(resize_event)
      116    0.000    0.000    0.000    0.000 backend_bases.py:182(close_group)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2030(draw)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2057(get_width_height)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2329(mpl_connect)
        3    0.000    0.000    0.000    0.000 backend_bases.py:2384(mpl_disconnect)
        4    0.000    0.000    0.000    0.000 backend_bases.py:3017(_wait_cursor_for_draw_cm)
        1    0.000    0.000    5.552    5.552 backend_bases.py:3561(show)
      204    0.000    0.000    0.000    0.000 backend_bases.py:467(get_image_magnification)
       32    0.000    0.000    0.000    0.000 backend_bases.py:655(flipy)
      280    0.001    0.000    0.011    0.000 backend_bases.py:674(new_gc)
      280    0.003    0.000    0.010    0.000 backend_bases.py:751(__init__)
      280    0.000    0.000    0.000    0.000 backend_bases.py:792(restore)
      280    0.000    0.000    0.000    0.000 backend_bases.py:819(get_clip_path)
      280    0.000    0.000    0.000    0.000 backend_bases.py:834(get_dashes)
      280    0.000    0.000    0.000    0.000 backend_bases.py:874(get_snap)
      248    0.000    0.000    0.001    0.000 backend_bases.py:885(set_alpha)
       44    0.000    0.000    0.000    0.000 backend_bases.py:902(set_antialiased)
       44    0.000    0.000    0.000    0.000 backend_bases.py:907(set_capstyle)
      204    0.000    0.000    0.000    0.000 backend_bases.py:918(set_clip_rectangle)
      280    0.001    0.000    0.003    0.000 backend_bases.py:922(set_clip_path)
       12    0.000    0.000    0.000    0.000 backend_bases.py:927(set_dashes)
      324    0.000    0.000    0.001    0.000 backend_bases.py:953(set_foreground)
       44    0.000    0.000    0.000    0.000 backend_bases.py:973(set_joinstyle)
       44    0.000    0.000    0.000    0.000 backend_bases.py:984(set_linewidth)
      280    0.000    0.000    0.000    0.000 backend_bases.py:988(set_url)
      204    0.000    0.000    0.000    0.000 backend_bases.py:992(set_gid)
       44    0.000    0.000    0.000    0.000 backend_bases.py:996(set_snap)
      102    0.001    0.000    0.215    0.002 backend_tkagg.py:12(blit)
        2    0.000    0.000    0.282    0.141 backend_tkagg.py:8(draw)
      204    0.002    0.000    0.529    0.003 cm.py:293(to_rgba)
      204    0.000    0.000    0.000    0.000 cm.py:374(get_array)
      306    0.002    0.000    0.066    0.000 colors.py:1128(process_value)
      102    0.018    0.000    0.090    0.001 colors.py:1163(__call__)
      204    0.000    0.000    0.000    0.000 colors.py:1226(autoscale_None)
      568    0.001    0.000    0.005    0.000 colors.py:132(_is_nth_color)
       80    0.000    0.000    0.001    0.000 colors.py:137(is_color_like)
       80    0.000    0.000    0.001    0.000 colors.py:150(_check_color_like)
      488    0.001    0.000    0.005    0.000 colors.py:178(to_rgba)
        3    0.000    0.000    0.001    0.000 colors.py:438(_create_lookup_table)
      102    0.073    0.001    0.522    0.005 colors.py:588(__call__)
        1    0.000    0.000    0.000    0.000 colors.py:736(_set_extremes)
        1    0.000    0.000    0.001    0.001 colors.py:896(_init)
      391    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      391    0.001    0.000    0.004    0.000 contextlib.py:130(__enter__)
      391    0.001    0.000    0.002    0.000 contextlib.py:139(__exit__)
      391    0.001    0.000    0.002    0.000 contextlib.py:279(helper)
      714    0.001    0.000    0.001    0.000 core.py:1278(_replace_dtype_fields_recursive)
      714    0.001    0.000    0.002    0.000 core.py:1310(_replace_dtype_fields)
      714    0.001    0.000    0.002    0.000 core.py:1324(make_mask_descr)
     2346    0.001    0.000    0.001    0.000 core.py:1357(getmask)
      102    0.000    0.000    0.000    0.000 core.py:1419(getmaskarray)
      102    0.000    0.000    0.002    0.000 core.py:1540(_shrink_mask)
      204    0.000    0.000    0.000    0.000 core.py:1812(_check_mask_axis)
      204    0.000    0.000    0.002    0.000 core.py:200(_recursive_fill_value)
      204    0.000    0.000    0.001    0.000 core.py:215(_get_dtype_of)
      102    0.003    0.000    0.006    0.000 core.py:2334(masked_invalid)
      204    0.000    0.000    0.003    0.000 core.py:280(_extremum_fill_value)
      612    0.005    0.000    0.069    0.000 core.py:2817(__new__)
      204    0.000    0.000    0.001    0.000 core.py:282(_scalar_fill_value)
